tupleNew__locationName,tupleNew__propType,tupleNew__bOld,tupleNew__rera src,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__possessionBy
Runwal Pride,"in Mulund West, Mumbai",2 BHK Flat,,₹2.05 Cr,"₹28,873 /sqft",950 sqft,(88 sqm),Super Built-up Area,2 BHK,Ready To Move
GOOLESTAN,"in Breach Candy, Cumbala Hill, Mumbai",2 BHK Flat,,₹10.5 Cr,"₹89,743 /sqft","1,170 sqft",(109 sqm),Carpet Area,2 BHK,Ready To Move
Nisha Residency,"in Goregaon West, Mumbai",2 BHK Flat,,₹1.75 Cr,"₹25,000 /sqft",645 sqft,(60 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
Acme Amartaru,"in Andheri East, Mumbai",2 BHK Flat,,₹2.5 Cr,"₹35,714 /sqft",700 sqft,(65 sqm),Carpet Area,2 BHK,Ready To Move
DB Ozone,"in Dahisar, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹90 Lac,"₹10,204 /sqft",882 sqft,(82 sqm),Super Built-up Area,2 BHK,Ready To Move
Kalina Village,"in Santacruz East, Mumbai",2 BHK Flat,,₹2.5 Cr,"₹39,062 /sqft",640 sqft,(59 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
Suparshwa Urbana,"in Jijamata Colony, Andheri East",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹2.2 Cr,"₹37,020 /sqft",594 sqft,(55 sqm),Carpet Area,2 BHK,Ready To Move
Rustomjee Regal,"in Dahisar West, Mumbai",2 BHK Flat,,₹1.75 Cr,"₹29,461 /sqft",795 sqft,(74 sqm),Built-up Area,2 BHK,Ready To Move
Tilak Nagar Building,"in Tilak nagar, Chembur",2 BHK Flat,,₹1.75 Cr,"₹30,172 /sqft",580 sqft,(54 sqm),Carpet Area,2 BHK,Ready To Move
Acme Elite,"in JVLR, Andheri East",2 BHK Flat,,₹2.43 Cr,"₹30,375 /sqft","1,350 sqft",(125 sqm),Super Built-up Area,2 BHK,Ready To Move
Neelkanth co op housing society,"in Vazira, Borivali West",2 BHK Flat,,₹1.85 Cr,"₹14,800 /sqft","1,250 sqft",(116 sqm),Super Built-up Area,2 BHK,Ready To Move
VARELLA MANSION,"in Madonna Colony, Dahisar, Mumbai",2 BHK Flat,,₹1.62 Cr,"₹25,000 /sqft",647 sqft,(60 sqm),Carpet Area,2 BHK,Under Construction
omshivam Shimpoli Road,"in Borivali West, Mumbai",2 BHK Flat,,₹1.61 Cr,"₹30,666 /sqft",520 sqft,(48 sqm),Built-up Area,2 BHK,Ready To Move
,,,,,,,,,,
Spring Grove Tower,"in Lokhandwala Kandivali East, Mumbai",2 BHK Flat,,₹1.9 Cr,"₹25,850 /sqft",735 sqft,(68 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Lodha New Cuffe Parade,"in Wadala, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹2.95 Cr,"₹30,825 /sqft",957 sqft,(89 sqm),Carpet Area,2 BHK,Ready To Move
Raj Corp Rameshwaram Apartment,"in Dahisar East, Mumbai",2 BHK Flat,,₹95 Lac,"₹20,212 /sqft",470 sqft,(44 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
Rustomjee Elanza,"in Mindspace, Malad West",2 BHK Flat,,₹3.6 Cr,"₹34,545 /sqft","1,100 sqft",(102 sqm),Super Built-up Area,2 BHK,Ready To Move
Solomon CHS,"in Bandra West, Mumbai",2 BHK Flat,,₹4.1 Cr,"₹45,303 /sqft",905 sqft,(84 sqm),Carpet Area,2 BHK,Ready To Move
